CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s]
20,2250.868755,13182.33002,1.46E+14,21019358.13,84549.67119,197308.2658,447.1064025,1542.714351
11,21170.30761,52040.73999,275903610.8,340871.3962,19635.00152,15916.22789,6.702484459,31.08957947
0,20450.0762,21506.08921,236156613,1030397.429,14729.71989,1132.689483,5.786315922,765.9196895
4,22687.44573,20189.27939,66600000,4777286.218,35.95457726,39.33731798,69.7432932,320.1202249
4,41623.06679,19788.08122,51901103.33,4351691.4,164.784231,157.4167189,454.2243313,260.1691608
2,15496.61672,54062.37175,298935931.3,23554298.23,48.71268031,123.5403557,262.7627581,187.0685545
0,15404.34085,21433.42365,64664863.81,3827717.003,5018.814034,1983.026182,8.927184429,6.702484459
2,20930.86539,8362.788671,240000000,813396679.8,70.05737716,60.31243203,151.8698666,339.4028876
22,9200.760751,2043.167913,292000000,2208758.075,106.9856905,8.765652645,164.8654474,54.70048699
12,33933,1375.443377,30423310.18,4111493.762,100.4942935,60176.55471,19649.30248,5904.023073
14,14169,693.1179474,35293514.39,3934113.081,303.9124301,13550.27911,74.57589753,3616.746359
2,20082.21692,20961.72104,1590583.412,4164547.631,160.1350663,129.3321488,230.0207482,384.4508092
2,41477.55117,1879.926296,104870281.1,38817767.68,74.28438764,138.2131398,2564.425891,657.1524769
24,41477.55117,13226.64266,143000000,1350855076,83592.71298,4518.708017,1605.228982,580.5622077
1,5551.384684,53844.92488,5363032.234,303831.2672,50.00359899,5008.539019,255.2690618,2111.646557
2,19266.75356,20541.55674,536302503.4,1291192916,37.54026879,185.9432914,1602.770544,161.4133979
4,27059.19238,77.36804231,64892478.19,350519.6874,131.3837107,97.23130764,6.007144819,105.1975279
4,20874.43362,37694.83454,115824429,115917429.6,66.69319684,176.7410477,556.9824358,130.9354797
1,20836.91275,12941.98347,80029222.12,5286157.669,44.08998768,9.204311915,14.64919912,166.3417674
18,9107.574805,102.4468635,33386526.84,47160.29166,388.8448465,999.070731,0.881356034,366.5725704
6,86325.54859,54404.9704,64241698.62,4297537.889,178242.5736,6.297033174,0.62579798,39.81118545
16,1271.501092,1919.050705,189000000,65498753.28,183.6326946,6.171231726,1193.128595,37.25268165
2,20237.84929,2698.695169,32940390.66,36559.75952,193.4089541,7.328109924,11.90312433,14.43161542
16,12159.85267,11719.39564,34559581.02,361906.2098,169.4316906,65.87256428,22.62180235,8.425751582
0,41388.25424,18169.09649,536302641.2,35526551.17,8230.227696,45323.60743,335.2594238,760.8652055
4,22589.47115,2457.011268,29708110.21,6143469.726,26.32366337,29.09305362,276.9944414,504.8183649
4,9047.884063,1925.726855,51822192.49,28993121.14,150.0509062,171.6540695,36.43421275,759.3421658
5,12989,20978.49976,51727146.62,134492247.7,14937.91335,2287.360528,64.34172376,645.3830634
2,8980.220779,6519.718431,187821437.9,66650971.52,177.6097159,179.8971176,133.9035621,159.1861103
1,9125.942469,5764.814822,536302503.4,572946907.5,46.66287498,189.9870981,481.8734254,70.02081862
18,2457.957374,8475.444239,52050364.29,7924459.797,231.3243603,64004.58761,1.63653136,266.1596003
1,9105.863425,1916.154634,91964207.54,3878183.007,12.6810596,136.3181831,375.8812806,343.4363544
8,2925.972997,20.73903828,536303425,378851.9206,85.69765413,29256.53028,458.5051819,13.74712795
32,2309.681596,12291.73622,63889127.39,802236.6604,37008.03903,26947.82925,219.2048164,23.5741539
4,9266.669913,20896.8317,102062537.6,30288529.67,102.3164871,46.42251518,1428.010914,586.2410067
4,9062.696338,21091.73466,23900000,4287694.103,10.84980621,125.4115315,384.8649899,567.6270155
32,2315.18109,1831.36448,45959390.04,520248.143,24.92078857,2231.512094,4.585391759,492.9345674
0,21508.03628,1902.739794,103168971.3,156602826.4,155.8716769,131.7251264,165.4233552,83.41964737
10,21888,29001.63838,198808552,171872772.7,68.24166146,8692.77211,6167.555512,1604.890646
12,79254.74763,54340.48175,1.46E+14,4192259.414,11.57357899,15218.85576,1136.526067,9698.302514
4,17360.18783,32001.03361,282765768.8,176242973.5,132.8984133,79.51782954,834.0913317,510.6341748
2,15712.10445,1869.550585,536302600.1,51669463.55,14.40628782,9.775960735,1338.377253,397.0157521
14,5723.60823,3147.143008,536302136.2,3730916.102,129486.8153,36958.34709,15.55319269,114.2528631
4,12966,13194.95871,21013464.76,536303088.8,297.0182264,6.826196227,12780.20478,10432.25675
4,1698.663039,10583.706,63677973.25,2000725.426,18.0349768,164.2659151,4.182649024,550.6874399
14,22904,56729.76683,1.46E+14,4369655.777,103.1393767,175101.1311,159.2234223,463.5180231
1,1694.050722,1887.152264,346696239.3,4278474.224,157.8280194,131.5909962,617.423406,153.2782548
0,18918.66812,21228.14863,46520658.76,4623362.656,32.81768853,36435.77568,24.67852959,1209.12985
0,3271.501092,1919.050705,189000000,65498753.28,7.409206465,6.714324364,8.522393514,25.37740751
2,8950.112652,11046.56572,384307851.9,65087.37194,142.2915224,59.29128238,2660.683799,576.5217574
5,676.6900272,8374.664468,51473202.43,36793000.06,48.67173877,857.5108477,395.5674632,2045.569757
28,86083.80144,74716.83815,245789525.9,4519928.179,60.22485053,71.20081393,78.05493469,72.75421647
32,3236.196515,5787.8618,35900000,1857675.459,114810.4971,45760.02045,4.922935553,2.515963402
7,15893.55534,5574.468494,294000000,128552.8872,433.2549644,56995.09574,501.6145667,338.345385
34,15477.81308,454.7728758,33497118.63,29047212.4,62.31577797,11.62086074,166.5243896,749.0817763
1,20294.23033,21520.89826,52117701.86,26449590.13,35.40236959,79.95009215,423.3191551,948.0094522
8,2257.957374,1971.162267,34834961.14,8617199.717,68590.45905,4.679170527,23.5741539,2.178354275
2,20554.60782,93.8717844,51629781.99,4738475.907,67.00378666,14.0623613,7.713024375,196.214432
8,25615,17283.00312,26878517.71,3656048.679,10.68075185,24777.90937,895.9364955,267.3296612
4,9509,22115.44206,13025991.25,3365223.249,148.4332624,43979.45616,660.3557242,222.740713
2,9004.204641,1510.301111,63677973.25,3997894.962,9.099487637,16.76711026,2345.741926,522.2555153
1,28958,12786.0788,138958400.7,456275549.2,291.0373926,1058.52388,2071.551458,9.001509249
5,41580.59004,83.99901166,830081.1817,23320.14273,93.78695074,210.4346608,637.9696605,0.62579798
1,24968,31806.74215,105877201.6,7343832.174,295.2286099,434.1600426,2943.810835,68.4049372
16,85927.21702,185.8309187,50953406.68,181632.7904,102.5933304,46.91001233,447.6858687,857.4129914
4,17950.16795,8918.951586,536302350.3,77566109.38,143.9381374,33.79077756,201.1821883,449.2372605
1,25319.11041,46737.8763,4925571.492,74191943.79,13.76464865,30.65841649,701.6858934,339.230702
4,20478.56621,190.511689,114000000,106336.8682,89.17411314,98.43210705,43.74385017,381.953459
2,9089.824671,8475.444239,52350151.91,11062375.11,186.8350253,20.97955238,248.7834789,816.0145008
16,15433.67265,21433.42365,64536382.8,1323680.135,441.0791812,38.79380443,188.9686483,1.309693183
7,41772.66824,1239.5749,59600000,5749660.082,177.2054118,2276.517028,12.45186309,164.8654474
4,41388.25424,20948.20364,138000000,5098198.782,86.86265481,155.7099282,632.2635613,83.7169511
4,41852.86596,1885.903196,536302962.4,29203.37605,179.0954899,170.1706167,104.9110005,551.6881662
18,2461.899437,21.07093781,63567817.02,4852954.511,5.390413277,17.60053307,1.328577235,21.3273514
24,9019.497022,118.871286,203000000,4309325.717,321.7787377,15932.34811,7.440733778,224.7699885
12,7253.47116,1918.790423,63833641.63,42348.17482,52.9320173,18069.66471,456.050879,118.2837916
4,3919.863598,5502.140858,106728700.1,28989200.72,108.4522619,90.99473012,12.18406742,236.5541619
4,21646.16279,11785.44953,74977502.36,27212423.96,159.5455864,25.48293696,561.8155717,712.9297721
16,21877.47215,20369.96961,50891103.43,9527885.875,239.9195747,2.025624382,18.88923596,687.575946
4,7835.447702,27910.06428,132988833.9,1041954.036,34.20443872,134.8495938,199.2985042,0.149253032
32,9132.678071,5837.013325,469587302.8,30985199.86,279.0542485,431116.0914,1377.206262,367.4101439
12,17615.55718,10201.57584,64447827.42,63804837.63,127.2834966,472.8536896,14.70935533,1076.318229
6,10749,52902.99225,63469920.58,18476705.43,20433.72111,441.8796268,2.063896518,1218.586326
4,8923.981652,1844.366245,98895243.23,27256882.43,126.7893133,83.11052132,1284.39022,182.4871583
1,27701,18929.94887,1381886.915,5575555.081,114.8385642,891.2143459,6064.024584,16172.46027
16,21141.14939,4720.674659,203224762.4,48369.74384,121.3734628,18.31518024,2074.628768,291.3003636
4,21980.02418,10285.27201,149044140,6045193.492,66.6200419,19.18558595,219.131587,758.1237967
16,9020.45681,6463.504537,536303491.5,1287608.54,38.664735,143.7561423,418.2540563,195.1100192
0,41623.06679,19788.08122,51901103.33,4351691.4,73.45209785,24.65482344,6.722498273,21.94101369
14,13712,13043.25215,83364632.83,5366686.471,2.386844201,6151.523281,8.22190788,166.3118001
32,15471.23737,12941.98347,536301914.6,146560270.5,21.49953883,8.824673804,1262.509873,688.5139497
4,55965.7356,16419.84899,46651038.58,129196.6564,173.2646538,91.17333519,183.6942663,138.1354604
5,19220,50731.78659,6029888.586,5437244.523,56891.84002,60807.20091,6144.764197,286.6446468
1,19840.60409,14112.6005,248908178,1606134.766,67.87632864,171.9610531,1108.058205,388.3109741
4,15604.19244,21784.2706,64487354.16,3341621.51,138.4254582,855.9774446,465.9068937,5.805403165
4,86210.25314,54692.84217,176674754.4,254241522.2,29.51732861,51.00478395,110.2758397,768.1548492
2,20596.07548,438.5232214,536302503.4,47106536.04,18.05774107,14.86241716,583.0888886,343.9493071
3,24644,41228.46305,1.46E+14,47852939.3,4128.469703,555499.296,1059.019145,2124.857897
1,41857.03869,38394.01073,51950648.59,2789674.043,0.82892649,34588.24841,800.9822788,616.4836459
4,86088.85036,61843.74419,575000000,244577393.1,114.0016904,112.5047974,630.276328,607.8370562
0,1694.050722,1887.152264,346696239.3,4278474.224,233.7937169,38632.1878,1012.901061,13.91946812
4,2024.428033,5764.814822,100174538.7,49684043.91,141.2216577,56.05610565,9.613896871,757.8790801
1,8993.293357,41468.05001,32806433.89,493443.1883,27.38777583,110.3094277,68.01271162,4.897725939
30,86165.9712,45437.03922,246000000,76484207.22,84.25310367,28989.51378,523.4195751,327.0931967
24,70151.12573,38052.50144,165837482.5,479016994,73578.70241,6393.224378,5022.219891,49.32770152
14,82006.72576,2254.672923,7103560.693,27921184.23,651.9795321,220318.659,15252.96296,813.5541211
22,4073.844207,48991.76733,29242456.57,1061796.138,113.0799404,34876.58958,63.77879156,33.38471903
2,4611.553719,5837.013325,305226111.3,140470611.5,2217.500494,28665.77704,631.2948554,38.2785158
9,21203.87116,18731.5169,98114497.14,30218497.05,478.1795405,31028.24013,412.91059,9.201507043
2,41204.40783,1510.301111,63677973.25,3997894.962,138.7495339,11.40647192,1689.666549,665.745294
0,2566.034433,1133.373867,22974906.55,7788356.597,23.7683022,8569.476332,0.072088449,346.734455
0,13873,4471.756967,105129145.3,4995687.833,76.86663966,544474.5997,805.6662564,2646.331383
22,2655.607821,93.8717844,51629781.99,4738475.907,0.750022027,49615.16663,51.86964888,9.482339587
4,21538.4664,212.7029565,536302364.3,25163182.49,0.788302027,74.18282458,1408.191108,277.8211159
7,15501.34302,20438.79307,63653039.72,13320820.9,108.6593488,65.56309805,220.9196137,870.5126428
32,19802,36359.98464,64300269.68,1879569.867,106.4326968,35.5088023,14834.05022,741.7833593
4,16714,54304.96719,39154595.44,4577655.709,61.31633149,397.3149115,4582.981269,2054.271054
2,4559.895528,282.8161296,536302503.4,124398608.7,42.34108883,69.66376454,438.839898,662.6366308
14,86417.14972,74.80551383,1802819.969,3955226.862,120.5161449,13965.86078,10.53864995,22.08747145
24,20005,34002.3824,51366338.49,4341276.952,56.27466483,2144.633058,193.6138929,14.22259037
4,36757.35274,9510.85462,93757324.69,7753647.438,1.540905075,46.01876686,1543.214854,146.6777827
7,14116,54816.56307,33491441.19,536302799.5,50.14782615,33111.16939,6072.617747,293.7388892
12,14737.47595,8219.11473,65576872.7,3999123.05,326.8919794,24418.46908,4.65721212,952.5513052
1,9227.167127,319.3931993,62706487.38,365592.6728,213821.0737,27.29017465,644.895974,74.08629666
30,86352.59942,610.123341,30339360.65,1305334391,154.4830405,18.05525319,772.0954945,21.59935298
4,41852.86596,52902.93673,252113638.7,102591033.2,48.84041827,130.0752057,2067.251775,134.4155074
1,15608.05887,296.262168,36708994.53,648124.2243,298.1194889,14614.37004,26.28858899,14.64919912
32,86352.59942,51025.67545,75100000,2641374.154,222.2952951,5601.416965,372.4067122,26.09199556
8,9837.652426,51103.93915,53630132.26,498884.9191,109.2630493,11.67217922,449.3473354,216.5348533
2,30535.15846,453.2076745,238428382.2,217158894.1,1.217145005,54.17837093,720.7670158,681.8394667
2,41929.64777,10245.86949,114000000,3989599.093,304.0236718,27315.5651,65.07478469,31.62902646
1,86352.59942,36958.01899,67114079.94,2578272.512,190.3579654,81.00280915,1570.552178,562.2089388
28,2380.428894,119.9638715,8906927.942,399807.2938,714.2045495,26821.28688,115.8782455,5.784575318
30,41477.55117,13226.64266,159000000,67324.75364,12.49186509,16224.89317,6.406914732,1.63653136
34,23799,14406.67097,64679750.37,35695408.71,74.52220822,733.2302495,4356.652125,262.9906201
4,21890.83378,8094.151504,5360764.048,3874911.384,50.63813088,77.67956848,1415.668436,1.534743017
1,20478,53828.57483,1.46E+14,38775367.22,68.9088868,551.7300948,2901.542038,14043.88626
14,27446,21628.81523,96244600.49,4505053.512,115.5972259,1376.656381,13975.5009,5909.373722
0,15514.64716,16941.8401,517000000,4960163.389,68261.28267,5.787057611,5.9776016,7.066218983
5,8982.771983,166.3483883,30648483.4,24533833.55,196.1260783,167.5716919,553.5209331,723.8996283
3,2167.671665,467.4098706,8702114.014,26647467.8,22171.2259,66998.44269,53.48567977,4.750121927
4,30234.47439,9291.622657,211917668.7,16769656.4,11.41109774,14.57240365,413.8733284,478.4470396
2,9218.365619,5543.635122,262000000,247027052.9,118.1750803,0.116082587,598.6178427,810.3519644
12,2691.716127,5787.8618,80029301.12,667023.6195,342.0521365,58291.31474,219.4989792,433.2610966
4,41852.86596,154.0149474,307000000,114155.4237,116.1832827,146.8564215,1586.194699,700.5365783
1,1765.354623,1940.474577,3984261.945,4322954.65,113.7515545,145.0235032,523.2505472,249.4221314
16,1079.778641,8569.396274,114395160.4,4462488.787,45.40133692,5067.704686,6.644298683,1081.445877
32,39128,98.38446986,1.46E+14,13379927.52,236.5313122,342587.2171,18307.94848,280.5968001
16,2629.766245,16120.79688,53630474.6,2755686.018,40331.20832,26534.66382,1352.171951,611.8520704
32,2257.957374,8475.444239,52050364.29,7924459.797,137.8541484,103.9095497,514.3731803,345.4244005
3,41750.45533,31895.51391,51243671.67,832182.2313,130.156159,3.96338739,0.418284869,131.7201625
4,86088.85036,11101.62306,536303347.7,115377.5508,110.7228344,59.49047225,202.3018375,461.8435712
0,24644,32434.39746,1.46E+14,208283388.7,4369.291707,877858.9925,8089.669649,9674.177068
4,2257.957374,1971.162267,34834961.14,8617199.717,173.0554877,99.36531963,493.9903267,498.2725588
12,77064.56407,21850.8524,35750858.93,5728400.718,183.2092632,398850.699,95.16049505,1051.706671
2,41477.55117,34153.11752,18633198.32,7512106.8,84.56773183,140.8629921,457.1686914,413.9616808
10,3757.35274,9510.85462,93757324.69,7753647.438,163.5717728,1924.400561,11.02210745,44.3614545
7,2767.671665,308.7645155,72400000,422712440.6,147.7699243,8169.274481,8.426804668,635.8123311
6,15513.39508,119.6757264,15500273.31,87643.32369,139761.8753,28.40591292,35.20339498,47.15722856
24,9181.280448,6454.199189,107000000,1214274471,165.2178831,13361.42922,409.6854571,9.523955504
4,21923.73141,14112.6005,8146428.258,1245394.823,29.10506674,1428.441418,17.84713654,2.581065325
11,2107.14423,44815.46835,62020236.43,4245058.435,172.6015074,18083.79041,1019.376541,6.113334956
30,801.958111,20810.8702,24260915.58,32141270.59,0.924585825,906.3966773,286.4366151,2923.49535
24,1223.60823,1903.551582,67341202.04,43770.81402,407.1499074,12554.10402,7.990127303,283.4373969
12,13189,208.928621,64403455.03,5322601.079,83.85765331,17427.29106,389.2658605,128.2438882
32,8464.394716,33223.95881,82114059.96,1409302.95,5524.812471,23.55319126,0.800610939,185.5030613
34,15686.56028,11701.55234,64664863.81,680674305,99.53774465,184.5042376,53.01276234,165.0021546
2,9186.968629,5543.635122,188000000,540907738.7,188.129903,23.16870406,201.9576341,525.3477948
11,15675.4543,10881.92484,31300000,28312790.22,11.07890559,968.216548,0.637471596,50.38704147
2,20905,21847.65332,5726517.538,273390307.6,91.6922193,7648.017388,3322.997319,573.333829
6,14949.67979,16850.98144,12022767.64,1943703.165,30.97238003,17.07436738,439.2597375,2.67335624
1,5723.238679,52086.3325,52069056.04,2485356.092,133.266391,27143.80227,446.6439775,9.201507043
1,22426.42285,13373.50733,51813294.85,2962930.181,33080.53151,4169.191622,3.534671441,6.406914732
16,2345.107092,10936.73749,536304044.8,5211895.259,165.6592329,44.45069586,80.59761622,746.9088438
2,21499.01969,21506.08921,239000000,283310738.7,0.725343495,164.605681,1702.832474,322.9604003
6,14219.90677,73948.48374,317511.9698,4564467.813,10.27203268,8066.324504,25.23256246,435.2134994
4,21181.04239,3220.974042,150926942.4,81679102.06,37.19578949,73.04501776,2079.64632,554.2324918
4,41623.06679,26944.16737,103297715.6,35190622.86,48.60149007,47.61040784,392.5579988,101.9199721
4,86088.85036,49715.68755,536304235.7,1392555484,44.53467064,153.6594968,49.55994614,683.5432269
1,13189,4471.756967,44955622.13,140671956.1,319.0913722,16814.60827,3016.833597,3478.391176
10,17904,34011.4888,172541530.7,324147710,102.264034,1707.303572,89.41014567,13528.87413
32,2092.757068,372.6039387,65334501.76,144899.8547,116.5593437,192.6702538,3157.919669,129.7554806
4,2257.957374,1971.162267,94800000,5254340.866,99.01854404,105.1264969,98.30007203,783.1205367
4,2367.790832,122.9889351,256938481.6,3713962.637,130.200788,60.08766245,131.213237,30.18455894
32,4559.895528,8475.444239,536301914.6,5892485.753,68.02717512,120.277019,378.3938003,123.9416611
4,20542.87395,22121.80037,90824829.72,82319460.16,133.3476491,135.8125832,1061.624639,854.1691839
4,41623.06679,22034.15769,158818212.9,3379085.265,62.80008383,161.3193185,614.2690805,350.6637284
14,21408.38837,52902.93673,114987862.4,119377.0112,41.4227866,145.9512588,137.5089019,772.5469254
32,20082.21692,20961.72104,1590583.412,4164547.631,452.0171933,141.9144093,1386.428726,70.40014219
4,19390.90227,40564.7707,536304053.5,77981483.77,124.0587836,47.17919243,1745.872602,472.5480052
0,4526.42133,9826.462132,4880984.766,3892121.211,3330.540392,44.51749462,2.166230744,14.94174313
22,15501.34302,20438.79307,63653039.72,1330820.903,38552.43456,58.75939913,658.2269537,1772.341237
0,84999.43718,7382.121549,109814285.7,8349946.902,294.7079808,126.5533626,1395.841244,136.7439241
1,1860.513439,94.56275975,98039786.58,2411867.639,465.0612489,157801.173,165.9498677,1484.178127
3,27347,1264.208893,63238758.11,128947.9919,2.519043409,481.4451375,871.6455112,1680.895091
2,9234.792399,7541.308478,21132210.01,5271654.322,138.2387781,9.911536858,34.42161535,333.3476174
2,12096.6816,12291.73622,63889127.39,802236.6604,142.4143468,61.5917114,389.0359841,40.64294822
9,9005.825053,1868.839676,98500000,12356601.79,284.7061882,68799.94763,19.76477821,13.6655297
4,20801.42889,119.9638715,8906927.942,3998007.294,141.591942,63.39492319,187.4352438,291.8935408
4,86325.54859,1930.107374,107000000,278356235.9,117.1532453,39.81269996,243.1160925,246.6870136
14,21270,2418.987283,1.46E+14,101812659.8,27.51710594,23051.79238,11459.18289,1733.855849
14,85927.21702,66823.87095,152290393,123840.9693,10235.4302,17.11832901,4.459779247,32.77619174
12,9186.968629,5543.635122,188000000,540907738.7,4560.454588,728.905945,25.18415554,11.98895261
32,3212.405385,26.7821717,95418679.04,7620228.726,34192.57408,1269.412202,808.2281885,10.71716481
12,15683.30597,290.0001344,65554888.8,192009.1644,17.70162477,36.81842007,7.019865947,189.0482171
1,26886,5706.49841,1368021.346,536302491.6,15.0007922,2486.825059,16859.5356,1169.640433
4,22426.42285,13373.50733,51813294.85,2962930.181,60.11222161,64.62159686,52.40976589,917.8421763
12,1295.177777,11881.96004,65292388.01,18315435.77,59173.87565,14582.71911,1.264183409,2140.600117
4,7253.47116,1918.790423,63833641.63,42348.17482,4.483255518,63.615064,640.8455408,351.9781261
12,2466.034433,1023.320093,312000000,3818938.586,53.36820942,5.567065535,3.061397602,26.15884736
4,21317.70624,28470.39051,54136838.48,866876.2816,144.7552931,24.44031214,363.3786839,345.5319945
10,41623.06679,16503.13562,51901103.33,3767868.316,19375.32087,50848.85716,99.98804306,165.9498677
32,89676.44078,20347.03828,63269346.22,25607866.95,87.92129408,13927.79777,21.91253629,514.2777245
1,5360.190299,8066.60671,15618008.14,1260536.302,173.7006667,72001.4601,197.8139488,11.93703305
16,22069.92243,28086.93678,107608924.1,264376.5879,151.6322942,57653.0574,1003.345462,0.093715257
2,9402.39453,4968.05355,127000000,29288130.27,24.5550386,8740.175074,30.79029308,18.34103804
14,2040.099146,198.3844699,258340839.9,41263123.76,7738.555691,199.3975452,6.78203421,361.0220013
1,9258.802401,6825.998927,223940922.3,746132.1384,54.362386,118.6146074,1760.4076,57.63732045
0,24644,10844.97574,101550631.5,24396887.87,83280.2426,3305.609703,1188.523587,3328.528081
32,19471.01865,4833.553048,101136784.2,27049793.79,78.50267014,13.93150819,368.1582677,308.7239946
1,19471.01865,4833.553048,101136784.2,27049793.79,19.09564505,35.52996966,252.2073648,615.8326205
4,86473.89484,48829.92502,63995407.32,437761962.8,177.2340786,106.1994449,61.23641046,80.28104994
0,9130.395932,3667.339996,274520650,90312.4664,24.73530605,3935.281482,11.85968505,4.65721212
1,39128,248.4072642,1.46E+14,34636338.84,122.6617166,149389.0726,5220.288089,452.3154965
4,41388.25424,1930.155509,166000000,251444.6348,16.55732794,71.29538042,366.5609845,261.8958642
10,20030,28164.53053,22515496.03,28605338,234.3271744,17846.90026,1232.722918,74.57589753
1,4611.553719,2022.731996,248830277,297465322.8,58983.02107,4.928647067,1484.178127,8.786773494
1,16405.45612,5369.562913,20928896.86,27536404.24,6.977341339,55.69235824,247.2022663,771.1136184
4,22032.21458,30146.89207,36930986.07,23516252.33,160.802121,27.62064356,229.0339717,821.6816264
3,2765.354623,470.8982217,96721339.42,114631577.4,65044.81372,2.731189498,286.4760056,23.7165101
1,9158.470858,9689.970564,105000000,2318269.52,389.1099929,51063.65779,136.7439241,283.0241679
22,15561,23088.27894,172549430.3,507432311.6,4.601891265,875.481881,140.1687578,3056.708345
